Experiment_ID,Section,Reference,Catalyst,Pollutant,Light_source,Light_power_W,Light_wavelength_nm,Initial_concentration_mg_L,Initial_concentration_text,Catalyst_dosage_g_L,Catalyst_loading_wt_percent,Catalyst_loading_text,pH,pH_min,pH_max,pH_tested_text,pH_optimum,Time_min,Removal_percent,COD_reduction_percent,Finding_text,Original_Text,Data_Quality_Flag,Notes
E11,"Photodegradation effect of TiO2 form and structure on organic pollutants","Shahrezaei et al., 2012","TiO2 Degussa P-25","Petroleum wastewater","UVA-UVB UV light",NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,120,NA,83,"COD was reduced by 83% after 120 min.","TiO2 Degussa P-25 under alkaline conditions (pH=10) Petroleum wastewater UVA-UVB UV light. COD was reduced by 83% after 120 min.","Medium","Source line is concatenated/garbled; pH=10 assigned to petroleum wastewater row."
E12,"Photodegradation effect of TiO2 form and structure on organic pollutants","Chen et al., 2007","TiO2 Degussa P-25","Malachite Green","UV light",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,99.9,NA,"99.9% of Malachite Green degraded at 360 min.","TiO2 Degussa P-25 Malachite Green UV light. 99.9% of Malachite Green was degraded at 6 hours.","High",NA
E13,"Table 4 Photodegradation of TiO2 substrates on organic pollutants","Barakat et al., 2020","Graphene oxide based TiO2","2-chlorophenol","Solar light",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,80,NA,"Pollutant was degraded by 80%.","Graphene oxide based TiO2 2-chlorophenol Solar light, initial concentration is 25 mg/L, at 240 min, Pollutant was degraded by 80%.","High",NA
E14,"Table 4 Photodegradation of TiO2 substrates on organic pollutants","Abadikhah et al., 2019","Graphene oxide based TiO2","Bromothymol blue","UV-Vis light",NA,NA,500,NA,NA,NA,"0.05, 0.2, and 0.4 wt% rGO based TiO2",NA,NA,NA,NA,NA,80,86,NA,"Bromothymol blue was degraded by 86%.","Graphene oxide based TiO2 Bromothymol blue/ Rose bengal UV-Vis light, initial concentration of both dye solutions is 0.5 g/L, 0.05, 0.2, and 0.4 wt% rGO based TiO2, at 80 min.","Low","Three catalyst loadings reported together (0.05, 0.2, 0.4 wt% rGO based TiO2); outcome not mapped to a specific loading."
E15,"Table 4 Photodegradation of TiO2 substrates on organic pollutants","Abadikhah et al., 2019","Graphene oxide based TiO2","Rose bengal","UV-Vis light",NA,NA,500,NA,NA,NA,"0.05, 0.2, and 0.4 wt% rGO based TiO2",NA,NA,NA,NA,NA,80,90,NA,"Rose bengal was degraded by 90%.","Graphene oxide based TiO2 Bromothymol blue/ Rose bengal UV-Vis light, initial concentration of both dye solutions is 0.5 g/L, 0.05, 0.2, and 0.4 wt% rGO based TiO2, at 80 min.","Low","Three catalyst loadings reported together (0.05, 0.2, 0.4 wt% rGO based TiO2); outcome not mapped to a specific loading."
E16,"Table 4 Photodegradation of TiO2 substrates on organic pollutants","Munikrishnappa et al., 2019","Graphene oxide based TiO2","Rhodamine B","Visible light",NA,NA,10,NA,NA,25,NA,NA,NA,NA,NA,NA,80,100,NA,"Pollutant was degraded by 100%.","Graphene oxide based TiO2 Rhodamine B Visible light, initial concentration is 10 mg/L, 25% concentration of rGO based TiO2, at 80 min.","High",NA
E17,"Table 4 Photodegradation of TiO2 substrates on organic pollutants","Lai et al., 2016","Graphene based TiO2","Bisphenol A","Visible light",NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,180,67.6,NA,"Pollutant was degraded by 67.6%.","Graphene based TiO2 Bisphenol A Visible light, initial concentration is 4 mg/L, catalyst loading of 1 g/L, at 180 min.","High",NA
E18,"Table 4 Photodegradation of TiO2 substrates on organic pollutants","Brindha and Sivakumar, 2017","rGO based TiO2","Congo red","Visible light",NA,NA,NA,NA,NA,NA,"2.5, 5, 7.5, and 10% concentration of rGO based TiO2",NA,NA,NA,NA,NA,120,92,NA,"Pollutant was degraded by 92%.","rGO based TiO2 Congo red Visible light, 2.5, 5, 7.5, & 10% concentration of rGO based TiO2, at 120 min.","Medium","Multiple catalyst loadings reported together (2.5, 5, 7.5, 10% rGO based TiO2); outcome not mapped to a specific loading."
E19,"Table 4 Photodegradation of TiO2 substrates on organic pollutants","Rong et al., 2015","Graphene oxide based TiO2","Methylene blue","Visible light",NA,NA,10,NA,0.8,NA,NA,NA,NA,NA,NA,NA,100,98.8,NA,"Pollutant was degraded by 98.8%.","Graphene oxide based TiO2 Methylene blue Visible light, initial concentration is 10 mg/L, catalyst loading of 0.8 g/L, at 100 min.","High",NA
E20,"Table 4 Photodegradation of TiO2 substrates on organic pollutants","Yang et al., 2016","Graphene based TiO2","Methylene blue","Visible light",NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,"Pollutant was degraded by 96%.","Graphene based TiO2 Methylene blue Visible light, initial concentration is 10. Pollutant was degraded by 96%.","Low","Initial concentration reported as '10' without unit; not standardized."
E21,"Table 4 Photodegradation of TiO2 substrates on organic pollutants","Jiang et al., 2011","Graphene oxide based TiO2","Methyl orange","UV light",20,NA,10,NA,0.01,NA,NA,NA,NA,NA,NA,NA,150,90,NA,"Pollutant was degraded by ~90%.","Graphene oxide based TiO2 Methyl orange UV light (20W), initial concentration is 10 mg/L, catalyst loading of 0.01 g/L, at 150 min.","Medium","Approximate value reported as ~90%; stored as 90."
E22,"Table 4 Photodegradation of TiO2 substrates on organic pollutants","Khalid et al., 2013","Graphene oxide based TiO2","Methyl orange","Visible light",NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,180,62,NA,"Pollutant was degraded by 62%.","Graphene oxide based TiO2 Methyl orange Visible light, initial concentration is 10 mg/L, catalyst loading of 1 g/L, at 3 h.","High",NA
E23,"Table 5 Photodegradation of TiO2 based photocatalysts on organic pollutants at different pH","Palaniandy et al., 2016","Degussa P-25 TiO2","Petroleum wastewater","Solar light",NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,6.8,170,NA,76,"Optimum pH=6.8; 76% reduction of COD.","Degussa P-25 TiO2 Petroleum wastewater Solar light; 170 min; pH=3-9. Optimum pH=6.8; 76% reduction of COD.","High",NA
E24,"Table 5 Photodegradation of TiO2 based photocatalysts on organic pollutants at different pH","Lu et al., 2017","TbxOy-TiO2","Phenol","Visible light",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,100,NA,"Optimum pH=4; 100% of phenol was degraded.","TbxOy-TiO2 Phenol Visible light. Optimum pH=4; 100% of phenol was degraded.","High",NA
E25,"Table 5 Photodegradation of TiO2 based photocatalysts on organic pollutants at different pH","Saien and Shahrezaei, 2012","Degussa P-25 TiO2","Petroleum wastewater","UVA-UVB UV light",NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,3,120,NA,72,"Optimum pH=3; COD was reduced by 72%.","Degussa P-25 TiO2 Petroleum wastewater UV light (UVA-UVB); 120 min; pH=2-10. Optimum pH=3; COD was reduced by 72%.","High",NA
E26,"Table 5 Photodegradation of TiO2 based photocatalysts on organic pollutants at different pH","Huang et al., 2008","Pt doped-TiO2","Methyl orange","UV light",NA,365,NA,NA,NA,NA,NA,NA,2.5,11,"2.5, 6.2, 11",2.5,30,98,NA,"Optimum pH=2.5; 98% of Methyl orange was degraded.","TiO2 Pt doped-TiO2 Methyl orange UV light (365 nm); 30 min of irradiation time; pH=2.5, 6.2, and 11. Optimum pH=2.5; 98% of Methyl orange was degraded.","High",NA
E27,"Table 5 Photodegradation of TiO2 based photocatalysts on organic pollutants at different pH","Li et al., 2008","Natural zeolites Supported TiO2","Methyl orange","UV light",NA,NA,NA,NA,NA,NA,NA,NA,4,11,NA,4,100,96.58,NA,"Optimum pH=4; 96.58% of Methyl orange was degraded.","Natural zeolites Supported TiO2 Methyl orange UV light. 100 min; pH=4 11. Optimum pH=4; 96.58% of Methyl orange was degraded.","Low","Source text reads 'pH=4 11'; interpreted as pH 4-11."
